item,logprob
amesaDa,-7.229747
ameDaDa,-7.23165
ameRaDa,-6.739027
akuRaR,-6.18371
akutaR,-5.976546
akulaR,-5.636133
akukaR,-7.512415
aBuRaR,-6.960217
aBusaR,-6.647458
aButaR,-6.679794
aBulaR,-6.387986
aBukaR,-7.560151
akuRaR,-6.18371
akoRa,-5.179758
akoka,-6.275846
aBoRa,-5.036815
aBoka,-5.559327
aRoRa,-7.872365
aRoka,-6.578996
aDoRa,-4.567329
aDoka,-6.752358
asoRa,-5.89735
asoka,-6.837558
apiskaBle,-8.627567
apispaBle,-9.540744
apisGaBle,-9.65142
apismaBle,-9.365528
apislaBle,-9.416524
apinsaBle,-8.567401
apiNgaBle,-10.16966
apinmaBle,-9.852242
apinlaBle,-10.64971
apulBaBle,-9.65392
apiskaxe,-9.373153
apispaxe,-9.663093
apisGaxe,-10.55259
apismaxe,-9.084815
apislaxe,-9.985532
apinsaxe,-8.938779
apiNgaxe,-10.59466
apinmaxe,-9.571529
apinlaxe,-11.21872
apulBaxe,-9.353064
aBulDaR,-10.68142
aBalDaR,-7.347222
apulDaR,-10.10596
aGulDaR,-11.07462
aDulDaR,-11.35584
aDalDaR,-8.605732
aBulDo,-9.587597
aBalDo,-6.253395
apulDo,-9.012135
aGulDo,-9.980798
aDulDo,-10.26201
aDalDo,-7.511905
aBelDo,-7.601792
aponifan,-8.975973
aponiYan,-9.000535
aponixan,-9.251393
aponimin,-9.084298
aDonifan,-9.657347
aDoniYan,-9.681909
aDonixan,-9.932767
aDonimin,-9.765672
aGonifan,-9.223678
aGoniYan,-9.24824
apojeniR,-10.30939
aDojeniR,-13.1146
aGojeniR,-10.2898
afojeniR,-10.4904
afoCeniR,-12.98568
alejitiBle,-10.55634
aleCitiBle,-10.72731
aleCotiBle,-11.36862
aGuskanjento,-12.19996
aGuskaljento,-11.87005
aGuskaDjento,-12.03077
aGuslanjento,-14.26227
aGuslaDjento,-14.04823
aGuslaljento,-14.96574
aGusmanjento,-13.27873
aGusmaljento,-13.18524
aGusmaDjento,-13.39281
aGuskanjento,-12.19996
aBektaR,-8.213746
aBultaR,-6.662664
aBaltaR,-6.522553
apultaR,-6.087202
axektaR,-7.759889
aGultaR,-7.055865
aDultaR,-7.337078
aDaltaR,-7.781063
aBondaR,-8.356865
aBolDaR,-8.143687
amaRtisko,-9.74404
amaktiska,-9.934091
amaktisto,-9.458995
amantiska,-9.558527
amantisto,-9.083431
amastiska,-9.675944
amastisto,-9.200848
amaltiska,-10.25998
amaltisto,-9.784882
amaptiska,-11.66964
aBekto,-7.363576
aBulto,-6.35194
aBalto,-6.211829
apulto,-5.776478
axekto,-6.909718
aGulto,-6.74514
aDalto,-7.470339
aBepto,-9.01011
aBetto,-9.279922
amisonoR,-10.01383
amisolaR,-9.22822
amisoRaR,-9.334891
amisosaR,-9.405216
amisoBaR,-9.331504
amisokaR,-9.653204
amisotaR,-9.418513
amisenaR,-9.200195
amiDonoR,-10.12421
amiDolaR,-10.01259
axixolaDo,-12.46174
axixomaDo,-13.41515
axifomaDo,-12.60977
axifolaDo,-12.37249
axiGomaDo,-11.67483
axiGolaDo,-10.83822
axiDomaDo,-10.2881
axiDolaDo,-10.02217
eDRa,-5.636156
etRa,-5.012692
eGla,-5.805129
epRa,-6.142806
eGRa,-5.421467
etla,-7.52737
eBRo,-5.64488
eBla,-5.786703
akRefaneRa,-11.67002
akRefaloka,-11.68418
akRefameRa,-11.37787
akRefaDeka,-13.54985
akReGaneRa,-9.984943
akReGaloka,-10.50296
akReGameRa,-9.950894
akReGaDeka,-11.69902
akReDaneRa,-11.04762
akReDaloka,-11.64531
aflikaR,-7.399415
aflilaR,-9.946594
afRikaR,-7.435137
afRilaR,-8.84428
akRikaR,-6.662588
akRilaR,-8.071732
aDRikaR,-7.740431
aDRilaR,-9.149575
akRexanoRa,-11.21356
akRexaneka,-12.12281
akRexaDoka,-11.73983
akRexamoRa,-10.52464
akRexaloRa,-11.19976
akRexaleka,-11.705
akRefanoRa,-11.99717
akRefaneka,-12.90642
akRefaDoka,-12.81812
akRefamoRa,-11.17467
atRimaR,-7.521325
atRiGaR,-7.532653
afRimaR,-8.007568
afRiGaR,-8.018896
aDRimaR,-8.312863
aDRiGaR,-8.324191
atRimo,-7.07228
atRiGo,-7.129685
afRixo,-7.576858
afRimo,-7.558523
afRiGo,-7.615928
akRafoteCes,-13.96587
akRafoteCos,-13.57019
akRapoteCes,-14.41329
akRapoteCos,-14.01762
akRaBoteCes,-13.7418
akRaBoteCos,-13.34613
akRaxanoRo,-12.736
akRaxamoRo,-12.04707
akRaxaloRo,-12.7222
akRafanoRo,-12.79385
akRafamoRo,-11.97135
akRafaloRo,-12.38084
akRaGanoRo,-12.31818
akRosjotjon,-14.59556
akRonjotjon,-15.02277
akRonjetjon,-11.72151
akRoxjotjon,-16.11397
atRiBjoDo,-10.78238
akRiBjoDo,-10.49607
afliBjoDo,-11.63672
aGRiBjoDo,-11.09945
apliBjoDo,-10.47202
aBliBjoDo,-10.6164
afRiBjoDo,-11.26862
apRiBjoDo,-10.60871
afRepjoR,-11.62726
afReBjoR,-10.91729
afReBwiR,-9.373853
aDRepjoR,-12.389
aDReBjoR,-11.67903
aDReBwiR,-10.1356
akRexjokuka,-14.9049
akResjokuka,-13.01746
akRepjekuka,-16.30237
akRafjakuka,-14.89646
afleRoR,-10.55888
aflaRoR,-10.17991
afRaRoR,-10.26904
afReRoR,-11.0049
akReRoR,-10.59394
akRaRoR,-10.25918
aDRaRoR,-10.57218
aDReRoR,-11.76665
afRasaR,-7.78165
afRamaR,-8.060996
aDRasaR,-8.084795
aDRamaR,-8.364141
aplamaR,-7.24826
aGRasaR,-6.589306
afRaso,-7.197953
afRaxo,-7.915857
afRamo,-7.042245
aDRaso,-7.501098
aBlel,-6.861492
atRel,-7.489423
aDRel,-8.611433
aGRel,-7.220476
aklel,-8.561299
aplel,-7.719018
afRel,-7.849687
akRel,-7.438725
atRoR,-7.676923
atReR,-7.302474
aGRoR,-8.081353
aGReR,-7.033528
aBloR,-6.692628
akloR,-7.059955
akleR,-7.508965
aDRoR,-8.909842
aDReR,-8.424485
afRoRsaR,-11.4568
aDRoRsaR,-11.89403
aploRsaR,-9.264598
aGRoRsaR,-11.06554
aBloRsaR,-9.676819
akloRsaR,-10.04415
atRoRsaR,-10.66111
aBRuRsaR,-10.92013
akRukaneka,-11.79337
akRukameka,-12.17755
akRuRaneka,-12.20333
akRuRameka,-12.93904
akRunaneka,-12.78653
akRunameka,-13.2597
akRuDaneka,-12.39957
akRuDameka,-12.73238
akRusaneka,-11.83956
akRusameka,-12.26724
atRolto,-8.229353
anseka,-7.346698
ansela,-5.891528
admaRtismo,-12.37434
admantispo,-13.13544
admantisko,-12.42828
admantisto,-11.78727
admantisma,-12.70433
admistismo,-9.900799
