item,logprob
afReBwiR,-7.6869003000000005
aDReBwiR,-8.0374643
akResjokuka,-10.902962299999999
afRasaR,-6.0991023
afRamaR,-6.1092773000000005
aDRasaR,-6.6276923000000005
aDRamaR,-6.6323453
aplamaR,-5.8694953000000005
aGRasaR,-5.7672863
afRaso,-5.008856300000001
afRaxo,-5.4116993
afRamo,-5.2432933
aDRaso,-5.5379793
aBlel,-3.9495153000000003
atRel,-4.738377300000001
aGRel,-4.897061300000001
aplel,-4.9814013
afRel,-4.894048300000001
akRel,-4.9543353
atReR,-4.6125293
aGReR,-4.7737223
aBloR,-4.2179003
akloR,-4.7349253000000004
akRukaneka,-9.5218023
akRukameka,-9.833792299999999
akRuRaneka,-9.8333423
akRuDaneka,-10.4459123
akRusaneka,-9.835302299999999
akRusameka,-10.153992299999999
atRolto,-6.384237300000001
anseka,-4.9302093000000005
admaRtismo,-9.5035023
admantisko,-9.3853823
admantisto,-9.1100313
admistismo,-8.0389433
admintispo,-8.5092653
admintisko,-8.1011063
admintisto,-7.825761300000001
admintisma,-8.151640299999999
agnaDe,-5.822678300000001
aGRaDe,-4.5026493
asnaDe,-6.0248873000000005
agmaDe,-6.9398703
afGaDe,-5.437238300000001
asmaDe,-5.4821783
admoDusa,-8.196253299999999
anlaRutisto,-12.0347423
anlakutisto,-11.4066823
anliRutisto,-12.2002923
anlikutisto,-11.3407223
aNgaRutisto,-10.234322299999999
aNgakutisto,-10.1727223
aNxiRutisto,-10.6044323
aNxikutisto,-10.2110623
anlakutisma,-11.732542299999999
aNxiRutisma,-10.9302923
aNxikutisma,-10.5369323
aNgakutisma,-10.498592299999999
aDBaRsensja,-9.9949823
aDBaRxensja,-9.9772523
aDBaRBensja,-10.1163723
agDaRsensja,-12.8266823
agDaRxensja,-12.8801723
aDBaRsente,-9.1169663
aDBaRBente,-9.2383323
aGloNxente,-8.951911299999999
aGlombente,-8.0721463
aGlomfente,-8.8097303
aGReksjon,-6.568726300000001
admulsjon,-8.8520443
aBxekto,-8.2976653
abDulto,-5.6467793
abDalto,-7.549298300000001
ambeRto,-5.6281403
anstexja,-7.8361153
ansteBja,-7.8069313
ansteBja,-7.8069313
anstRiRto,-8.375310299999999
anskRikto,-7.9379263
anstRolto,-8.1066703
anskReiDa,-8.811398299999999
ensGRaiDa,-8.9115604
ensGReiDo,-9.7353454
anskRuko,-7.7707393
anskRusa,-7.839717300000001
anskRulo,-8.3144543
anstRuka,-6.6870753
anstRula,-7.0224053
aptwilto,-8.8131183
admolDiDad,-11.672012299999999
aDBikDiDad,-11.9232523
aDBilDiDad,-10.6073623
aDBalDiDad,-10.831352299999999
aBjosa,-4.9834533
aBjasa,-5.322722300000001
asjosa,-4.141805300000001
asjasa,-4.7587523
apjasa,-5.6912653
asjoso,-4.2776803
asjoGo,-5.8085633
asjoso,-4.2776803
asjola,-4.8290943
asjeso,-5.222745300000001
asjeGo,-5.6242053
asjeso,-5.222745300000001
amulisme,-7.6460543
akulispe,-6.5080823
akulisme,-6.9456623
atulispe,-7.934675299999999
aDusjo,-4.511436300000001
asusjo,-4.593138300000001
aGusjo,-4.7731003
akumjo,-5.5582053
amuDina,-6.598368300000001
amuRina,-6.6670373000000005
amunina,-6.5914703
amumina,-6.554429300000001
amusina,-6.3080023
afumina,-5.5437953
afusina,-5.905797300000001
afaRnaDo,-7.590002300000001
axiskanjento,-10.9895923
axiskaDjento,-10.5129123
axiskaljento,-10.628472299999999
axismanjento,-11.015812299999999
axismaljento,-10.971692299999999
axismaDjento,-10.653562299999999
axiGRanjento,-10.9524923
aGoskanjento,-11.1065723
aGoskaDjento,-10.629822299999999
aGoskaljento,-10.7453623
aGosfanjento,-11.598342299999999
aGosfaDjento,-11.4062323
aGosfaljento,-11.1556123
aGospanjento,-11.6450623
aGospaDjento,-11.065642299999999
aGospaljento,-11.2736523
aGosBanjento,-12.4706523
afiRkansja,-9.2906623
afiRsansja,-9.643242299999999
afiRGansja,-8.7602423
afiRmansja,-8.499095299999999
afikkansja,-9.3721023
afimbansja,-8.4728753
afimpansja,-8.2485863
afiskansja,-7.838443300000001
afaRkante,-7.2980063
afaRsante,-7.904320300000001
afaRGante,-7.238609300000001
afaRmante,-7.286180300000001
afambante,-7.0422233
afampante,-7.3471783
afaskante,-7.4357432999999995
afaspante,-7.9167762999999995
afalsante,-7.8220193
aBoRDaR,-6.4744773
aBeRDaR,-6.6538943
aBuktaR,-6.7190083000000005
aBuRtaR,-7.1394343000000005
aBuptaR,-7.0954113
aBustaR,-5.8927413
aBultaR,-5.9078903
aBaRDaR,-6.7252593
aDoRDaR,-6.3053813000000005
alujenjenta,-9.7543223
aluCeljenta,-10.5830623
aluCesjenta,-9.9351223
aluCeDjenta,-9.998442299999999
aluCenjenta,-10.0387423
aluCetjenta,-10.071262299999999
aBuCeR,-5.3392073
apuCeR,-6.5123433
akopaR,-4.6800373
akosaR,-5.050654300000001
akoGaR,-6.0099973
akoYaR,-7.2040823000000005
akoRaR,-5.3200593000000005
akoxaR,-5.2549093000000004
akolaR,-4.7384903000000005
akoBaR,-5.5496393
akoBaR,-5.5496393
akuka,-4.8643653
aBuka,-4.9370383
aBula,-3.6818322999999995
aDuka,-4.0883153000000005
aDula,-3.9498893
asuka,-4.573225300000001
