word,word_shape,word_phono,length,frequency_bin,real_wbps,real_mbps,real_wbos,real_mbos,nonword1,nonword1_phono,nonword1_wbps,nonword1_mbps,nonword1_wbos,nonword1_mbos,nonword2,nonword2_phono,nonword2_wbps,nonword2_mbps,nonword2_wbos,nonword2_mbos,nonword3,nonword3_phono,nonword3_wbps,nonword3_mbps,nonword3_wbos,nonword3_mbos
atril,VCCVC,atRil,5,<10,-1.2285983333333337,-1.0283990333333335,-1.16964,-0.9705718166666668,acrel,akRel,-1.2397875,-1.1250047,-1.2098401666666667,-1.0456079833333334,abrel,aBRel,-1.2154798333333334,-1.0835025333333332,-1.19456,-1.0321943166666667,agrel,aGRel,-1.203412666666667,-1.1125553666666663,-1.1668585,-1.0502229833333334
atrio,VCCVV,atRio,5,<10,-0.9966293333333334,-0.8977468666666667,-0.9383693333333332,-0.8168943166666667,ablia,aBlia,-0.9609888333333334,-0.9409450333333332,-0.9294263333333334,-0.8398414833333333,aplia,aplia,-0.9369241666666668,-0.9654290333333334,-0.8774155,-0.8858379833333334,adria,aDRia,-0.8990215,-0.8620680333333333,-0.919809,-0.8267299833333334
atrofia,VCCVCVV,atRofja,7,<10,-1.004498375,-0.905034525,-0.97031625,-0.9019974875,agropio,aGRopjo,-0.991930625,-0.8832659,-1.054508625,-0.9605728625,acropio,akRopjo,-0.990664625,-0.89959865,-1.0595945,-0.9553316125,afropio,afRopjo,-1.040838125,-0.935997525,-1.08995875,-0.9801318625
atroz,VCCVC,atRos,5,<10,-0.7811555,-0.8837202,-1.1593871666666666,-1.0743989833333334,abrez,aBRes,-0.7676065,-0.8782868666666666,-1.116673,-1.0161459833333335,ablaz,aBlas,-0.7627648333333333,-0.9719622,-1.1543361666666667,-1.04167015,abraz,aBRas,-0.7555576666666667,-0.9693143666666666,-1.173433333333333,-1.0273644833333335
atrás,VCCVC,atRas,5,10-100,-0.7085928333333333,-0.9295670333333332,-0.7029326666666668,-0.95451915,ablés,aBles,-0.6752243333333333,-0.8683982,-0.708168,-0.9442043166666668,abrés,aBRes,-0.7676065,-0.8782868666666666,-0.8285453333333334,-0.98192615,,,,,,
atuendo,VCVVCCV,atwendo,7,<10,-0.926851375,-0.915831275,-0.91403425,-0.8989009875,ariardo,aRjaRDo,-0.96639,-0.9079604,-0.891929125,-0.9225713625,acierdo,asjeRDo,-0.877944875,-0.8779971499999999,-0.82462175,-0.8332542375,asierdo,asjeRDo,-0.877944875,-0.8779971499999999,-1.03967,-0.9417727375
atunero,VCVCVCV,atuneRo,7,<10,-1.116644,-0.976328275,-1.131713125,-0.9656167375,amudena,amuDena,-1.1182995,-0.96946415,-1.183333875,-0.9793639875,amusora,amusoRa,-1.166306375,-1.022301025,-1.1628585,-1.0025191125,amusena,amusena,-1.182350125,-0.967685525,-1.23179375,-1.0022723625
aturdido,VCVCCVCV,atuRDiDo,8,<10,-0.9562818888888888,-0.9877164666666668,-0.9610895555555556,-0.9661713222222222,aminmido,aminmiDo,-0.997126222222222,-0.9032618,-0.997614,-0.9086149888888888,amitmido,amitmiDo,-1.0399087777777778,-0.967475022222222,-1.0251022222222224,-0.980473877777778,aminnido,aminniDo,-1.0739937777777775,-0.9474845777777776,-1.0674337777777778,-0.9733687666666666
aturdir,VCVCCVC,atuRDiR,7,<10,-1.063278,-1.014630525,-1.085557125,-1.0527083625,amirmir,amiRmiR,-1.072713,-1.0703254,-1.07337275,-1.1062232375,asirmir,asiRmiR,-1.0974005,-1.052439775,-1.2147855,-1.1468966125,anirmir,aniRmiR,-1.125953625,-1.123137525,-1.1432465,-1.1853116125
atávico,VCVCVCV,ataBiko,7,<10,-0.983548625,-0.921942525,-1.148869375,-0.9142471125,amájina,amaxina,-0.97709925,-0.89190865,-1.22847775,-0.9852653625,amágina,amaxina,-0.97709925,-0.89190865,-1.004123,-0.8828473625000001,acájina,akaxina,-0.9767715,-0.894478025,-1.139633625,-0.9460708625
